,Representation
55,"['barr', 'attorney', 'stone', 'justice', 'general', 'roger', 'prosecutors', 'barrs', 'prosecutor', 'department']"
56,"['convention', 'republican', 'rankings', 'columnists', 'contributors', 'moments', 'conventions', 'republicans', 'night', 'obama']"
57,"['homes', 'house', 'home', 'cottage', 'tudor', 'million', 'farmhouse', 'revival', 'rowhouse', 'condo']"
58,"['sale', 'manhattan', 'brooklyn', 'properties', 'queens', 'homes', 'weeks', 'heights', 'hill', 'park']"
59,"['stimulus', 'package', 'billion', 'deal', 'trillion', 'aid', 'checks', 'relief', 'money', 'payments']"
60,"['recap', 'episode', 'season', 'picard', 'fargo', 'trek', 'mandalorian', 'saul', 'star', 'finale']"
61,"['plants', 'garden', 'flowers', 'you', 'gardening', 'vegetables', 'gardens', 'plant', 'gardeners', 'fresh']"
62,"['olympic', 'gymnasts', 'she', 'abuse', 'marathon', 'olympics', 'her', 'fastest', 'coaching', '100']"
63,"['police', 'officers', 'nypd', 'defund', 'defunding', 'reform', 'cops', 'misconduct', 'discipline', 'departments']"
64,"['obamacare', 'medicare', 'care', 'insurance', 'affordable', 'health', 'act', 'medicaid', 'supreme', 'coverage']"
65,"['syria', 'turkey', 'syrian', 'war', 'turkish', 'conflict', 'soldiers', 'alassad', 'rohingya', 'myanmar']"
66,"['tiktok', 'app', 'microsoft', 'tiktoks', 'chineseowned', 'wechat', 'media', 'apps', 'ban', 'chinese']"
67,"['ballots', 'mail', 'vote', 'voting', 'absentee', 'election', 'mailin', 'counting', 'early', 'elections']"
68,"['coronavirus', 'experts', 'mcneil', 'understand', 'we', 'what', 'panic', 'jr', 'about', 'pandemic']"
69,"['learning', 'school', 'education', 'children', 'remote', 'parents', 'schools', 'snow', 'kids', 'classroom']"
70,"['israel', 'netanyahu', 'arab', 'benjamin', 'israeli', 'minister', 'prime', 'palestinians', 'emirates', 'palestinian']"
71,"['nj', 'ny', 'jersey', 'properties', 'sale', 'homes', 'county', 'fivebedroom', 'township', 'fourbedroom']"
72,"['tech', 'apple', 'google', 'big', 'silicon', 'facebook', 'techs', 'hearing', 'companies', 'amazon']"
73,"['mayor', 'blasio', 'de', 'dinkins', 'mayors', 'yang', 'mayoral', 'stopandfrisk', 'race', 'bill']"
74,"['inspire', 'image', 'story', 'tell', 'does', 'what', 'this', 'coins', 'could', 'you']"
75,"['bloomberg', 'michael', 'bloombergs', 'rivals', 'democratic', 'presidential', 'debate', 'democrats', 'billionaires', 'his']"
76,"['my', 'father', 'fathers', 'son', 'felt', 'me', 'dad', 'lessons', 'scars', 'reflect']"
77,"['barrett', 'coney', 'amy', 'supreme', 'court', 'barretts', 'judge', 'confirmation', 'hearings', 'nominee']"
78,"['immigration', 'ban', 'administration', 'travel', 'immigrants', 'visas', 'entry', 'countries', 'daca', 'block']"
79,"['debate', 'debates', 'biden', 'presidential', 'joe', 'nbc', 'voters', 'final', 'matchup', 'trump']"
80,"['flynn', 'pardon', 'pardons', 'case', 'adviser', 'guilty', 'michael', 'clemency', 'dept', 'judge']"
81,"['pregnancy', 'risk', 'tied', 'birth', 'diabetes', 'increased', 'women', 'premature', 'babies', 'higher']"
82,"['dies', 'died', 'he', 'at', 'peace', '73', 'ireland', 'mr', 'moi', 'petrocelli']"
83,"['games', 'video', 'game', 'gaming', 'esports', 'microsofts', 'virtual', 'play', 'xbox', 'playstation']"
84,"['nurses', 'doctors', 'patients', 'nursing', 'doctor', 'nurse', 'im', 'care', 'medical', 'hospitals']"
85,"['suburban', 'suburbs', 'voters', 'white', 'black', 'racial', 'presidents', 'trump', 'trumps', 'tilting']"
86,"['loneliness', 'together', 'quarantine', 'alone', 'isolation', 'emotional', 'living', 'men', 'connected', 'dating']"
87,"['farright', 'modi', 'india', 'germany', 'delhi', 'hindu', 'narendra', 'muslims', 'police', 'indias']"
88,"['737', 'airlines', 'max', 'boeing', 'plane', 'crashes', 'airline', 'flight', 'boeings', 'passengers']"
89,"['work', 'working', 'office', 'productive', 'remote', 'home', 'unhappy', 'employees', 'remotely', 'workplace']"
90,"['amendment', 'women', 'suffrage', '19th', 'vote', 'overlooked', 'womens', 'equal', 'eleanor', 'suffragist']"
91,"['caption', 'moderated', 'stripped', 'closely', 'picture', 'image', 'join', 'conversation', 'whats', 'see']"
92,"['symptoms', 'covid19', 'patients', 'covid', 'immune', 'signs', 'urgent', 'chronic', 'delirium', 'my']"
93,"['statues', 'statue', 'monuments', 'toppled', 'memorial', 'monument', 'history', 'confederate', 'protester', 'roosevelt']"
94,"['machines', 'robot', 'robots', 'artificial', 'computer', 'automation', 'intelligence', 'computers', 'lesson', 'education']"
95,"['italy', 'italian', 'milan', 'europes', 'italys', 'northern', 'roma', 'bergamo', 'coronavirus', 'rome']"
96,"['bolton', 'ukraine', 'john', 'impeachment', 'boltons', 'adviser', 'testify', 'security', 'trial', 'book']"
97,"['storm', 'hurricane', 'isaias', 'storms', 'winds', 'hurricanes', 'landfall', 'power', 'category', 'tropical']"
98,"['cruise', 'ship', 'ships', 'passengers', 'sail', 'princess', 'diamond', 'vegas', 'docked', 'carnival']"
99,"['tennis', 'open', 'djokovic', 'novak', 'federer', 'slam', 'players', 'thiem', 'matches', 'mens']"
100,"['hong', 'kong', 'prodemocracy', 'beijing', 'law', 'security', 'china', 'kongs', 'movement', 'chinas']"
101,"['she', 'her', 'was', 'felt', 'headache', 'didnt', 'dizziness', 'barely', 'had', 'doctors']"
