,Representation
56,"['san', 'diego', 'acapulco', 'california', 'santa', 'yaqui', 'city', 'pascua', 'plata', 'town']"
57,"['mdc', 'zanu', 'pf', 'saitoti', 'ind', 'parliament', 'panafrican', 'ghana', 'party', 'zimbabwe']"
58,"['murder', 'her', 'she', 'serial', 'killers', 'murders', 'convicted', 'peete', 'sentenced', 'marple']"
59,"['river', 'rivers', 'county', 'wisconsin', 'ada', 'indiana', 'flows', 'delorme', 'gazetteer', 'missouri']"
60,"['rodin', 'art', 'drer', 'his', 'paintings', 'aalto', 'painting', 'works', 'museum', 'work']"
61,"['ships', 'displacement', 'tons', 'class', 'aircraft', 'service', 'navy', 'operator', 'ship', 'armament']"
62,"['shah', 'khan', 'sultan', 'aurangzeb', 'mughal', 'his', 'ahmed', 'aga', 'ahmad', 'ali']"
63,"['canada', 'ontario', 'mackenzie', 'mla', 'mp', 'conservative', 'minister', 'party', 'liberal', 'alberta']"
64,"['artemis', 'apollo', 'aphrodite', 'goddess', 'achilles', 'athena', 'her', 'greek', 'zeus', 'ares']"
65,"['footballer', 'cup', 'ajax', 'club', 'fifa', 'international', 'football', 'january', 'july', 'fc']"
66,"['bergling', 'norwegian', 'norway', 'meisdalshagen', 'minister', 'he', 'swedish', 'ministers', 'party', 'spo']"
67,"['liberia', 'districts', 'county', 'district', 'grand', 'bong', 'located', 'bassa', 'gedeh', 'kru']"
68,"['school', 'high', 'nebraska', 'bridgeport', 'bloomfield', 'refer', 'belmont', 'amherst', 'carroll', 'greeley']"
69,"['instrument', 'instruments', 'banjo', 'guitar', 'bass', 'bassoon', 'string', 'strings', 'bow', 'accordion']"
70,"['album', 'juno', 'year', 'best', 'awards', 'award', 'music', 'symphonique', 'worst', 'recording']"
71,"['fresnel', 'light', 'aberration', 'magnitude', 'optical', 'albedo', 'is', 'polarization', 'angle', 'image']"
72,"['climate', 'journals', 'warming', 'lomborg', 'meteorological', 'journal', 'change', 'weather', 'scientific', 'global']"
73,"['basque', 'de', 'bayonne', 'andalusia', 'barcelona', 'andorra', 'bordeaux', 'andalusian', 'la', 'city']"
74,"['brisbane', 'queensland', 'cowboys', 'club', 'season', 'rugby', 'nrl', 'broncos', 'league', 'players']"
75,"['professor', 'university', 'ba', 'college', 'president', 'faculty', 'award', 'parkinson', 'ayer', 'he']"
76,"['essex', 'henry', 'clifford', 'richard', 'his', 'earl', 'sir', 'battle', 'he', 'richards']"
77,"['sevens', 'rugby', 'football', 'champions', 'club', 'lions', 'rfc', 'cup', 'scottish', 'scotland']"
78,"['augustus', 'alexios', 'agrippina', 'emperor', 'andronikos', 'his', 'roman', 'byzantine', 'rome', 'octavian']"
79,"['alqaeda', 'abu', 'sharon', 'sayyaf', 'bin', 'zubaydah', 'attacks', 'laden', 'terrorist', 'flight']"
80,"['pope', 'arns', 'benedict', 'anthony', 'he', 'bellarmine', 'his', 'cardinal', 'saint', 'italian']"
81,"['park', 'kansas', 'wildlife', 'wilderness', 'parks', 'refuge', 'state', 'lake', 'wyoming', 'springs']"
82,"['sabha', 'lok', 'thackeray', 'india', 'gujarat', 'indian', 'janata', 'akademi', 'constituency', 'bihar']"
83,"['born', 'thornton', 'mclean', 'politician', 'james', 'budge', 'william', 'john', 'american', 'footballer']"
84,"['alexander', 'bc', 'alexanders', 'persian', 'agesilaus', 'athenians', 'his', 'king', 'greek', 'battle']"
85,"['agassi', 'tennis', 'borg', 'open', 'singles', 'sampras', 'wimbledon', 'final', 'won', 'round']"
86,"['amway', 'company', 'distributors', 'kohler', 'companies', 'food', 'devos', 'culligan', 'business', 'sales']"
87,"['election', 'scotia', 'nova', 'general', 'alignright', 'halifax', 'electoral', 'riding', 'assembly', 'fort']"
88,"['fiji', 'voting', 'approval', 'candidates', 'vote', 'voters', 'candidate', 'voter', 'electoral', 'votes']"
89,"['battalion', 'marine', 'marines', 'japanese', 'okinawa', 'regiment', '2nd', 'naval', 'operation', 'navy']"
90,"['street', 'broadway', 'station', 'avenue', 'astoria', 'jersey', 'park', 'battery', 'city', 'manhattan']"
91,"['hockey', 'bandy', 'ice', 'womens', 'team', 'winter', 'olympics', 'canada', 'wftda', 'she']"
92,"['station', 'stations', 'radio', 'broadcasting', 'format', 'fm', 'channel', 'call', 'affiliate', 'programming']"
93,"['award', 'jury', 'performer', 'documentary', 'dramatic', 'awards', 'cinema', 'prize', 'filmmaking', 'special']"
94,"['law', 'citizenship', 'churchill', 'rights', 'university', 'court', 'mckeown', 'adachi', 'supreme', 'afroyim']"
95,"['buddha', 'buddhist', 'nanda', 'ashoka', 'cave', 'buddhas', 'buddhism', 'bodhisattva', 'caves', 'texts']"
96,"['alfonso', 'afonso', 'portuguese', 'king', 'portugal', 'aragon', 'his', 'castile', 'de', 'he']"
97,"['costas', 'game', 'playbyplay', 'night', 'games', 'analyst', 'espn', 'baseball', 'broadcast', 'sports']"
98,"['caltech', 'research', 'amfar', 'science', 'aids', 'students', 'institute', 'giz', 'exp', 'yrs']"
99,"['indonesia', 'brunei', 'faculty', 'bali', 'borneo', 'indonesian', 'islands', 'jakarta', 'andaman', 'ratulangi']"
100,"['television', 'beavis', 'series', 'butthead', 'babylon', 'episode', 'episodes', 'show', 'charles', 'season']"
101,"['atlas', 'bgcolorf2f2f2', 'born', 'colspan4', 'aligncenter', 'astronomer', 'observatory', 'asteroid', 'osirisrex', 'astronomy']"
102,"['austin', 'texas', 'airport', 'horse', 'columbus', 'quarter', 'city', 'austins', 'county', 'airports']"
103,"['chess', 'card', 'games', 'cards', 'game', 'players', 'player', 'play', 'board', 'backgammon']"
104,"['college', 'nursing', 'university', 'colleges', 'school', 'campus', 'asu', 'students', 'universities', 'community']"
105,"['aristotle', 'atlantis', 'philosophy', 'aristotles', 'anaximenes', 'philosophers', 'aeschylus', 'anaximander', 'greek', 'ammonius']"
106,"['relations', 'affairs', 'states', 'secretary', 'factbook', 'united', 'state', 'european', 'us', 'department']"
107,"['aspirin', 'amphetamine', 'effects', 'benzodiazepines', 'treatment', 'antidepressants', 'drugs', 'dopamine', 'drug', 'risk']"
108,"['boii', 'pontremoli', 'clunia', 'italy', 'baiuvarii', 'roman', 'province', 'town', 'langreo', 'century']"
