,Representation,Count
54,"['ballots', 'mail', 'voting', 'vote', 'election', 'mailin', 'absentee', 'counting', 'ballot', 'races']",52
55,"['convention', 'republican', 'rankings', 'columnists', 'contributors', 'moments', 'obama', 'conventions', 'night', 'michelle']",52
56,"['subway', 'bus', 'transit', 'riders', 'cars', 'subways', 'yorkers', 'trains', 'city', 'ridership']",52
57,"['plants', 'garden', 'flowers', 'you', 'gardening', 'vegetables', 'plant', 'tulip', 'gardeners', 'environment']",51
58,"['wildfires', 'california', 'fire', 'oregon', 'fires', 'firefighters', 'west', 'coast', 'acres', 'blazes']",50
59,"['homes', 'house', 'cottage', 'home', 'farmhouse', 'million', 'tudor', 'in', 'near', 'condominium']",50
60,"['iowa', 'caucuses', 'caucus', 'results', 'candidates', 'iowas', 'democratic', 'presidential', 'winner', 'state']",50
61,"['coronavirus', 'experts', 'mcneil', 'we', 'what', 'questions', 'about', 'panic', 'jr', 'my']",50
62,"['tech', 'apple', 'google', 'silicon', 'big', 'companies', 'techs', 'facebook', 'amazon', 'valley']",49
63,"['tiktok', 'app', 'microsoft', 'tiktoks', 'chineseowned', 'wechat', 'media', 'apps', 'ban', 'chinese']",49
64,"['sale', 'brooklyn', 'properties', 'manhattan', 'queens', 'homes', 'weeks', 'heights', 'hill', 'park']",49
65,"['barr', 'attorney', 'stone', 'justice', 'roger', 'general', 'barrs', 'prosecutors', 'prosecutor', 'department']",47
66,"['obamacare', 'medicare', 'care', 'insurance', 'health', 'affordable', 'coverage', 'medicaid', 'act', 'supreme']",46
67,"['music', 'beethoven', 'composer', 'songs', 'composers', 'minutes', 'listen', 'recording', 'bach', 'sondheim']",46
68,"['alzheimers', 'dementia', 'lower', 'risk', 'disease', 'tied', 'diet', 'heart', 'brain', 'obesity']",42
69,"['israel', 'netanyahu', 'benjamin', 'arab', 'israeli', 'minister', 'prime', 'emirates', 'palestinians', 'palestinian']",42
70,"['my', 'father', 'fathers', 'scars', 'me', 'life', 'lessons', 'son', 'felt', 'dad']",41
71,"['debate', 'biden', 'debates', 'joe', 'presidential', 'trump', 'president', 'final', 'matchup', 'first']",41
72,"['china', 'taiwan', 'beijing', 'huawei', 'trade', 'beijings', 'united', 'tsai', 'taiwans', 'chinas']",41
73,"['cases', 'record', 'singleday', 'states', 'caseload', 'us', 'reported', 'coronavirus', 'total', 'united']",41
74,"['storm', 'hurricane', 'dams', 'isaias', 'louisiana', 'dam', 'flood', 'flooding', 'storms', 'coast']",40
75,"['hong', 'kong', 'prodemocracy', 'law', 'security', 'beijing', 'kongs', 'china', 'chinas', 'grip']",40
76,"['invitation', 'ongoing', 'prompts', 'teenage', 'comments', 'conversation', 'writing', 'join', 'saying', 'recent']",40
77,"['singer', 'album', 'pop', 'her', 'rock', 'pops', 'she', 'mariah', '80s', 'music']",39
78,"['inspire', 'image', 'story', 'tell', 'does', 'this', 'what', 'could', 'images', 'you']",39
